transactionPrice,winner,N
161.96,3,3
140.32,1,3
162.36999999999998,3,3
183.57999999999998,2,3
179.82999999999996,3,3
184.77,3,3
148.31999999999996,3,3
200.55999999999997,2,3
167.97000000000003,2,3
132.28000000000003,1,3
173.54,3,3
171.1399999999999,3,3
167.56999999999996,1,3
163.34,3,3
153.49,3,3
170.57,3,3
172.99000000000007,3,3
156.35,3,3
156.05000000000007,3,3
157.32999999999998,3,3
167.03,2,3
180.06000000000003,3,3
180.68999999999994,3,3
146.25999999999996,3,3
173.88000000000005,3,3
175.59000000000003,2,3
140.63,3,3
174.08,3,3
153.98999999999998,3,3
141.44999999999996,2,3
155.58000000000004,3,3
171.29000000000008,1,3
175.67000000000004,3,3
156.14000000000001,1,3
148.79999999999998,2,3
156.63999999999996,3,3
162.52,3,3
147.55,1,3
145.38,3,3
154.48,3,3
168.37,1,3
120.28999999999996,2,3
150.54,2,3
156.32000000000002,3,3
130.61999999999998,1,3
152.01999999999998,3,3
142.57,3,3
190.85,1,3
149.28,3,3
161.26,3,3
137.6,2,3
172.59999999999994,1,3
138.1,3,3
143.54000000000005,2,3
124.86000000000001,3,3
163.51,3,3
157.41000000000005,3,3
140.13000000000005,3,3
125.89000000000001,3,3
151.69000000000003,3,3
156.51999999999998,1,3
164.57,3,3
185.77000000000004,3,3
164.27999999999997,3,3
167.87000000000003,3,3
129.92999999999995,1,3
158.07000000000002,2,3
156.19999999999996,3,3
171.35999999999996,1,3
145.87999999999997,3,3
137.98000000000005,3,3
184.73,3,3
131.85,2,3
169.32,3,3
125.22000000000004,2,3
153.97000000000003,3,3
152.23999999999998,2,3
166.29999999999995,1,3
150.93,3,3
185.84000000000006,3,3
146.42000000000004,3,3
127.36000000000001,3,3
141.74,1,3
173.85,3,3
118.71000000000001,3,3
165.97999999999993,3,3
125.03,1,3
195.59999999999997,3,3
178.21,1,3
172.18,3,3
195.25000000000003,3,3
183.44000000000005,3,3
162.97,3,3
141.06,3,3
151.06,3,3
